ID_SUBVENTION;NOM_BENEFICIAIRE;DESCRIPTION_SUBVENTION;ADRESSE_BENEFICIAIRE;PROGRAMME_PJL_FINANCE;MONTANT_SUBVENTION;PRENOM_NOM_DEPUTE_NOSDEPUTES;ID_DEPUTE_AN;ID_NOSDEPUTES;NOM_DEPUTE_NOSDEPUTES;PRENOM_DEPUTE_NOSDEPUTES;SEXE_DEPUTE;DATE_NAISSANCE_DEPUTE;LIEU_NAISSANCE_DEPUTE;ID_DEPARTEMENT;DEPARTEMENT_NOSDEPUTES;NUMERO_CIRCONSCRIPTION;DATE_DEBUT_MANDAT;DATE_FIN_MANDAT;MANDAT_CLOS;GROUPE_SIGLE;PARTI_RATTACHEMENT_FINANCIER;PROFESSION;PLACE_HEMICYCLE;URL_DEPUTE_AN;SLUG_NOSDEPUTES;URL_DEPUTE_NOSDEPUTES;API_NOSDEPUTES;NB_MANDATS
4251;Commune de Glaine-Montaigut;Réfection de la cour de l'école;HdV - Le Bourg - 63160;122-01;5000;;267306;;;;;;;;;;;;;;;;;;;;;
4252;Commune de Glamondans;Travaux d'intérêt local;3, Grande rue  - 25360 Glamondans;122-01;4000;;605963;;;;;;;;;;;;;;;;;;;;;
4253;Commune de Glanes;Travaux pour accessibilité de la Mairie;Le bourg - 46 130 GLANES;122-01;5000;;1844;;;;;;;;;;;;;;;;;;;;;
4254;Commune de GLATIGNY;Réhabilitation de la place du bourg;M. le Maire Eric AUBIN - Le bourg - 50 250 GLATIGNY;122-01;7500;;607395;;;;;;;;;;;;;;;;;;;;;
4255;Commune de GLATIGNY;Acquisition d'une fontaine-lavoir et réalisation de ses infrastructures;;122-01;5000;;2971;;;;;;;;;;;;;;;;;;;;;
4256;Commune de GLATIGNY;Réfection des trotoirs et des stationnements de l'angle d'intersection rue de Mazagrand à l'angle d'impasse du Corchut;;122-01;5000;;2971;;;;;;;;;;;;;;;;;;;;;
4257;Commune de Glennes;Réféction de la voie communale n° 9;;122-01;2000;;605084;;;;;;;;;;;;;;;;;;;;;
4258;Commune de GODEWAERSVELDE;Tableaux Numériques;;122-01;2050;;607892;;;;;;;;;;;;;;;;;;;;;
4259;Commune de GODEWAERSVELDE;ESPACE DE JEUX;;122-01;3000;;607892;;;;;;;;;;;;;;;;;;;;;
4260;Commune de GOGNIES CHAUSSÉE;Remplacement des équipements de la cuisine de la salle des fêtes communale;GOGNIES CHAUSSÉE;122-01;11015;;607769;;;;;;;;;;;;;;;;;;;;;
